DP04_0001E,DP03_0120PE,DP05_0001E,DP03_0119PE,zip code tabulation area
3814,20.6,6915,10.7,29655
1790,23.1,3915,12.7,29684
4613,24.6,9978,16.7,29702
1185,47.2,3288,23.9,29590
5948,39.3,13292,25.7,29560
229,19.7,534,15.5,29567
5471,24.2,11446,16.9,29574
28626,20.7,16548,8,29582
13570,16.1,28813,9.8,29625
915,22.8,1225,10,29635
168,0,205,0,29683
868,0,935,13.3,29686
5628,22.8,13430,13.5,29697
882,17.3,2029,13.9,29001
939,43.4,1603,20.9,29481
7639,33.1,18182,23.9,29512
14024,23.7,31952,15.9,29550
20130,14,40272,7.7,29579
1194,45.1,2365,25,29584
2524,15.7,5350,18.6,29591
9686,29.8,20775,20,29532
2180,33.3,5383,18.5,29540
773,20.5,1444,15.2,29545
1326,11.1,2965,15.5,29546
4170,31.3,8582,21,29554
2508,22.8,5824,15.7,29555
5975,30.9,12089,19.5,29556
11291,30.2,17603,11.4,29566
16316,28,9395,7.8,29572
21031,9.7,31037,5,29576
2265,25.9,4985,17.6,29583
1229,21.1,2170,11,29596
15956,23.6,37130,16.3,29605
13586,21.1,29191,12.4,29609
12726,37,30274,23.6,29611
1265,34.8,2505,22.2,29628
4196,26,9643,13.6,29645
86,36.8,89,28.6,29659
119,-666666666,140,0,29665
6582,15.5,12153,8,29672
1268,0,1704,1.4,29685
5125,31.7,11113,20.9,29691
1510,44.6,3693,21.4,29704
196,6.5,518,17.2,29849
509,51.6,861,20.6,29743
4479,25.3,11879,15.7,29829
2392,14.1,5506,9.7,29847
3279,31.7,7328,20,29851
17044,8.2,41018,4.6,29910
181,7.4,377,3.1,29923
459,21.8,587,8.5,29941
2074,22.8,3928,11,29935
5855,21.4,13666,11.8,29936
1173,12.2,3028,6.9,29075
744,16,1317,8.3,29081
653,6.9,1663,19.5,29111
30,0,40,0,29122
2463,51.2,5187,23.2,29142
627,23.4,1827,13.8,29152
4955,27.2,11261,16.9,29161
468,7.8,849,8.4,29166
8965,17,21555,9.4,29170
9169,12.5,19182,7.5,29206
19506,7.4,50866,5.5,29229
5950,14.1,12489,9.4,29323
3737,22.2,8987,14.1,29330
8528,19.3,20482,13.4,29341
733,30.6,1329,13.1,29351
411,50.7,928,23.3,29355
4381,17.6,8459,10.4,29356
8823,36.8,17485,21.2,29379
4441,16.3,9297,9.6,29670
11738,6.5,32031,3.8,29680
21123,4,57959,3.5,29681
3369,16.2,7081,9.1,29709
7,100,39,100,29724
23929,20.1,55937,12.6,29730
12473,19.7,30697,12.2,29745
5464,32.5,11357,17.7,29812
1927,17,4332,10.9,29831
3421,31.5,7462,16.9,29842
693,48.4,1195,22.5,29843
13155,9.8,29586,4.8,29212
10112,30.7,25089,19,29303
4469,5.2,11211,5.3,29365
6411,14.7,15721,12.9,29388
5129,31.8,9627,14.1,29401
12076,32.3,29677,20.2,29405
18502,5.8,40275,4.1,29412
0,-666666666,1035,-666666666,29423
762,24.6,1888,16.1,29426
2946,36,6510,18.3,29003
1022,15.1,1928,11.9,29030
352,18,2007,16.6,29051
4243,8.4,9260,7.9,29054
15081,6.6,39090,4.7,29063
1602,36,2971,15.9,29018
5976,17.3,12541,9,29033
755,40.4,2111,13,29052
2174,32.6,4393,19.8,29069
37,-666666666,10,-666666666,29079
8792,32.9,20890,17.6,29108
4611,25.3,11196,17.7,29138
2307,28.6,3841,13,29112
4928,9.5,8339,6.5,29127
3291,29.3,5755,15.3,29130
17991,30.8,39616,19.5,29150
8426,33.2,18709,15.9,29204
4836,23.5,10720,13.2,29006
5215,24,12469,15.4,29010
683,15.9,1136,11.9,29031
2690,30.4,4825,20.3,29048
127,83.3,131,34.5,29062
345,41.9,509,16.8,29065
4062,30,11093,19.2,29067
18547,16.5,46555,11.3,29073
1359,27,2737,19.7,29107
7303,46.3,16012,31,29536
2420,13.9,5301,12.1,29544
3274,30.2,7836,23.6,29565
17621,15.2,18727,7.8,29575
11146,17.8,15022,6,29585
7504,16.5,14972,13,29630
1365,17.5,3225,6,29638
12196,35.7,28182,22.2,29646
18640,11.6,47493,7.5,29651
4470,22.2,9306,10.1,29654
6648,15.8,15696,8.1,29662
5351,13.5,12058,9.3,29669
433,61,689,25.5,29828
12589,31.9,28308,17.5,29801
614,66.3,971,43.4,29816
